Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Midjourney: Tips and Techniques for Creating Images,"<p>Midjourney is a wildly popular tool for generating images based on text prompts. In this course, instructor and video producer Nick Harauz details the tips and techniques behind getting the best results from this amazing tool. Nick goes over the basics of joining Midjourney and installing Discord, creating your first text prompt, and viewing your images on Midjourney. He shows you how to go further with Midjourney by using external images with your text prompt, blending images, using text separation and weights, and more. Nick highlights additional image parameters and shows you how to use image-generative AI with other AI apps. He explains Midjourney copyright, as well as some generative image app alternatives. This course will get you started on your text-to-image machine learning journey.</p>",Course,2023-05-22 22:53 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483131,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483131,Course,2023-06-06 17:32 UTC,N/A,false,N/A,
"Japanese, Part 3: Improving Fluency, Expression, and Writing","<p>In this course, Yuki Sasaki Caldwell—an experienced instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—shows you some additional ways to speak about the past by using the past-tense forms of i-adjectives, and the aizuchi words that will help your conversation move along more smoothly. You’ll also learn about sushi, from the Edo period up to the present day—and why no one could have eaten the sushi of old with chopsticks. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-07-29 13:33 UTC,N/A,false,N/A,
Nano Tips for Answering Common Interview Questions with Tiffany Uman,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover strategies for answering common interview questions more effectively and authentically to help you land a new role or change your career. Follow along with expert advice from career strategy coach, former Fortune 500 senior director, author, and global speaker, Tiffany Uman.</p><p>Unlock the secret methods of a successful interviewee to find out what sets them apart. Learn how to harness your weaknesses as a source of power, explain gaps and resignations, avoid common mistakes, and calm your nerves. Along the way, Tiffany also gives you pointers on tackling notoriously difficult questions that probe your skills and capacities as a problem solver on the spot. By the end of this course, you’ll be ready to start answering—and asking—your next interview questions like a pro, so you land more job offers with ease and confidence.</p>",Course,2023-06-26 21:35 UTC,N/A,false,N/A,
Nano Tips for Career Success and Daily Wins with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore strategies for career success and daily wins with award-winning leadership strategist and peak performance specialist Shadé Zahrai. Learn how to identify career growth areas, address burnout, track achievements, celebrate effort, balance skills with opportunities, and develop daily habits. By the end of this course, you’ll be prepared to manage emotionally charged situations, disrupt procrastination, and improve mental clarity and well-being.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-09-24 13:42 UTC,N/A,false,N/A,
Azure AI Engineer Associate (AI-102) Cert Prep: Implement Natural Language Processing Solutions,"With the rapid advancement of AI technologies, the demand for experienced and qualified AI engineers has never been higher. This course is one of a series of courses designed to help you prepare to tackle the Designing and Implementing a Microsoft Azure AI Solution (AI-102) certification exam. Explore the core topics covered in the Implement Natural Language Processing Solutions domain, including how to implement natural language processing within your applications to analyze text, detect sentiment, translate text to and from different languages, process and translate speech with Azure AI speech services, create Q&A solutions, and build natural language engagements, solutions for human-computer interaction with language understanding models, and much more.",Course,2025-01-15 15:59 UTC,N/A,false,N/A,
Overcoming a Transactional Mindset for Sales,"Embark on a transformative sales journey with Ronnell Richards, a sales expert passionate about sales communications. This comprehensive course redefines sales success, shifting focus from immediate transactions to enduring customer relationships. Ronnell's expert guidance unveils the nuances of building trust and fostering loyalty, ensuring your sales strategy resonates deeply with customer values.",Course,2024-08-22 14:24 UTC,N/A,false,N/A,
Chat with Your Data Using ChatGPT,"Elevate your expertise in AI-driven data analysis and customer interaction and find out how to integrate conversational AI into data interaction with ChatGPT and LangChain. In this hands-on course, distinguished tech leader and innovator Kesha Williams guides you through building a ChatGPT-powered chatbot using LangChain, focusing on key topics like prompt engineering, vector databases, data retrieval, and question answering. By the end of the course, you will understand how to develop complex LLM applications, handle vector databases, and create AI solutions that intelligently interact with and extract insights from diverse data sources.",Course,2025-07-18 17:27 UTC,N/A,false,N/A,
Creating Your First Marketing Videos on LinkedIn Nano Tips with Shay Rowbottom,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, Shay Rowbottom teaches expert tips on creating and sharing your videos on LinkedIn to market your business. Shay explains the factors to consider when making your first video, like topics to cover, video quality concerns, and video lengths. She then explains how to use your videos as a marketing tool to get you noticed.",Course,2025-06-04 12:17 UTC,N/A,false,N/A,
Demystifying Agentic AI with ChatGPT: Elevate Your Skills and Unlock New Potential,"Explore the power of agentic AI in this course with instructor Jules White. Jules simplifies the concept of agentic AI, helping you understand how to interact with and harness these intelligent agents effectively. Imagine agents autonomously scheduling meetings, drafting tailored reports, or even managing customer inquiries—all while you focus on strategic tasks. Learn how these agents work and gain the fundamental knowledge to start building AI in a new way, revolutionizing your approach to productivity and innovation.",Course,2025-08-19 15:14 UTC,N/A,false,N/A,
How to Get Started on Tasks You're Avoiding,"There may be times in your career when you avoid certain tasks, due to a variety of reasons. This course, taught by Ali Schiller, provides the tools and techniques to overcome task avoidance and get started on daunting tasks. Assess your energy blocks and understand the psychological factors behind procrastination. Create a personal action plan tailored to your specific needs. After this course, you'll be equipped to overcome procrastination and boost your productivity.",Course,2025-06-27 15:24 UTC,N/A,false,N/A,
Content Marketing: Social Media,"Explore best practices for content marketing using social media. In this short course, Luan Wise walks through the different types of content that can be embraced by social media, and explains how to leverage the value of the content you generate. She covers the four key ways to distribute content, and provides suggestions for measuring your results. In addition, she shares her top tips for improving your content marketing with social media.",Course,2019-02-06 15:55 UTC,N/A,false,N/A,
Lead Generation: Multichannel PPC Strategy,"This course navigates the intricate, ever-evolving landscape of pay-per-click advertising and describes how to leverage it for effective lead generation. Amy Bishop guides you through the multi-channel strategy-building process, including key topics like building your data sources, selecting your channels, and leveraging targeting strategies. Amy covers the critical step of coordinating your lead generation campaigns across multiple channels, as well as projecting performance and defining campaign budgets. She outlines the concepts and shares the tactical tips you need to design, execute, and measure an effective multi-channel PPC strategy for lead generation.",Course,2022-06-08 23:38 UTC,N/A,false,N/A,
Designing Agentic AI Products (No Code Required),"Agentic AI automates AI workflows using the reasoning power of large language models. Are you ready to go past chatbots to get agents to work for you? In this course, Sudha Jamthe takes you through the foundational knowledge of agentic AI and teaches you how to design an autonomous AI solution to automate your marketing or enterprise business workflow with no-code agentic platforms and tools.",Course,2025-07-22 14:50 UTC,N/A,false,N/A,
"Synthetic Data as the Future of AI Privacy, Explainability, and Fairness: An Introduction for Data Scientists and Data Executives","<p>The European Commission’s JRC sees synthetic data as “the key enabler for artificial intelligence,” and analyst firm Gartner predicts that, by 2024, 60% of all AI training data will be synthetic—yet many data and AI professionals are not yet familiar with this privacy-enhancing technology. In this course, synthetic data and privacy expert Alexandra Ebert teaches you the fundamentals of AI-generated synthetic data. Learn how synthetic data can help you stay in compliance with privacy laws. Find out what AI-generated synthetic data is and go over its benefits and limitations. Explore how synthetic data can support your organization’s strategic objectives. Dive into ways to assess synthetic data’s quality and discover best practices for getting started with synthetic data and introducing it within your organization. Plus, learn about different ways synthetic data is used, particularly in the context of Responsible AI or Ethical AI.</p>",Course,2024-08-16 19:44 UTC,N/A,false,N/A,
Breaking the Anxiety Habit,"<p>For many of us, anxiety is a partner on our journey of life: it is always there. But a helpful reframe could also be the idea that anxiety is a habit we have created. And the good news is that habits are something we can break. In this course, two well respected experts—Dr. Judson Brewer and Charles Duhigg—weigh in on how to recognize the anxiety habit at work, as well as steps you can take to break the habit. </p>

<p>This course was created by Morra Aarons-Mele of The Anxious Achiever. We are pleased to offer this insightful discussion in our library.</p>",Course,2025-03-25 14:56 UTC,N/A,false,N/A,
Nano Tips to Thrive in Uncertainty and Embrace Change with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover powerful, practical strategies to grow your career by thriving in uncertainty and embracing change with insights from Shadé Zahrai, peak performance researcher and behavioral strategist to Fortune 500 companies.</p><p>Start embracing change in your professional life by tapping into your brain’s learning powerhouse. Learn how to identify communication preferences, transform anxiety into opportunity, cultivate resilience, manage stress, overcome the effects of tunnel vision, embrace acts of microbravery, and accept what you cannot change. Along the way, Shadé shows you how to successfully confront your fear of change and lead more authentically in times of uncertainty.</p>",Course,2025-07-30 12:33 UTC,N/A,false,N/A,
Nano Tips for Understanding AI's Impact to Business with Marco Andre,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Marco Andre offers tips on understanding the impact of artificial intelligence in business, and how leaders can  become more productive and creative at work by thinking about AI first.",Course,2025-07-02 17:54 UTC,N/A,false,N/A,
Nano Tips for Managing Gen Z with Watchen Nyanue,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join Watchen Nyanue Hampton—thought leader, career architect, and the founder of I Choose The Ladder—as she shares practical, easy-to-use strategies for successfully engaging and managing Gen Z employees.</p><p>Learn how to identify and implement authentic diversity practices, communicate the purpose behind work tasks and projects, tailor career development paths, adjust your communication style, leverage microlearning for professional development, and recognize and reward your employees. Along the way, Watchen shows you how to think globally and act locally, as well as create opportunities for mentoring. By the end of this course, you’ll also be prepared to enhance transparency, build your credibility, and prioritize getting to know your employees.</p>",Course,2025-04-28 18:07 UTC,N/A,false,N/A,
Digital Body Language,"<p>People rely on body language and tone to grasp the real meaning of messages. Without these cues, we misunderstand each other more quickly, argue more, and walk away faster from relationships. In the virtual world—where most business is conducted—it’s even harder to communicate. If you want to build closer relationships with colleagues and clients, digital body language is your solution. Join collaboration expert Erica Dhawan as she explains how to use digital body language to close the empathy gap between you and your team. Learn why it’s important to always assume the best intent in others, and find out how to carefully craft your responses, communicate your feelings, and negotiate delicate power dynamics. With these tips, you can take charge of your communications online and off. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-04-29 14:38 UTC,N/A,false,N/A,
Navigating Personal Trauma and Triggers at Work,"In this course, trauma expert Dr. Mariel Buqué explores how to navigate past traumas and triggers that may affect us while we are at work. She will guide learners through identifying ways traumas can affect the ways we respond to situations and how we can navigate situations that trigger a stress response, including ways to proactively mitigate triggers, ways to calm our nervous systems, build metacognition, increase cognitive flexibility, reframe challenging situations, boost our resilience, and manage lingering emotions. She also discusses ways to know how and when to disclose past traumas at work and how to become a more trauma-informed colleague.",Course,2025-02-27 19:33 UTC,N/A,false,N/A,
Pitching Yourself for Opportunity,"<p>Every conversation presents an opportunity to make a great impression. In this course, Jodi Glickman, CEO and Founder of GreatOnTheJob.com, guides you through how to craft a compelling pitch with thought and intention so you can be persuasive, memorable, and able to reach your goals. Jodi shares the fundamental framework of leading with your destination, crafting your backstory, and then connecting the dots.  She covers pitch basics (it’s a dialogue, not a monologue!), cautions against mistakes to avoid, and shares why no two pitches are ever the same. Plus, Jodi offers behind-the-scenes coaching on real-life examples of how to try out, practice, and improve your pitch.</p>",Course,2024-09-24 19:57 UTC,N/A,false,N/A,
Grammar Girl’s Quick and Dirty Tips for Better Writing,"With easy-to-understand examples, Grammar Girl Mignon Fogarty shares ways you can instantly make your writing better, including using active voice, writing with rhythm, and using commas like a pro. She also dispels a few common grammar myths, gives pointers for breaking up run-on sentences, and much more. Watch just one video or the whole series of these quick tip videos any time you want to improve your writing skills.",Course,2021-06-18 12:14 UTC,N/A,false,N/A,
Agentic AI: Building Data-First AI Agents,"In this course, Senior Staff Instructor Morten Rand-Hendriksen and Microsoft Director of Data & AI Strategy Viroopax Mirji analyze the data challenges enterprises face when building AI agents. The course examines data quality, privacy, integration, and bias, with real-world examples from industries like healthcare and autonomous vehicles. The conversation covers best practices for data management, governance, and transitioning to an AI-driven future, ensuring transparency and accountability in AI systems.",Course,2025-07-23 13:15 UTC,N/A,false,N/A,
C# Practice: Interfaces and Abstract Classes,"<p>Test your object-oriented knowledge of C# in this edition of <i>Code Challenges</i>. Instructor and .NET developer Walt Ritscher presents five hands-on, intro-level challenges focused on abstract classes and interface implementation. Each challenge examines one aspect of these topics, and after you write the code to solve the challenge, check your work against Walt’s solution.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-02-26 16:07 UTC,N/A,false,N/A,
Minimizing Bias in Focus Groups with Q-Sort Method,"Focus groups are an invaluable tool for gathering qualitative insights—provided you’ve minimized bias. There are many factors that can cause bias in your focus groups. Maybe one particularly vocal participant pushes the conversation in a counterproductive direction. Or perhaps the way you’ve worded a question leads participants down certain paths. Whatever the reason, bias can cause your insights to be less insightful. In this course, Sarah Weise shows you how to address the most common sources of bias in focus groups, and shares strategies to keep the conversations balanced, fair, and real.",Course,2025-10-21 15:58 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2022-09-05 18:54 UTC,N/A,false,N/A,
OMCA™ Certification for Digital Marketers Cert Prep,"Give your marketing career a boost. OMCA™ (Online Marketing Certified Associate) is an industry-standard credential for digital marketing associates and entry-level marketers. OMCA certification verifies your knowledge of digital marketing concepts and demonstrates an understanding of accepted practices across multiple digital marketing disciplines. In this course, refresh your knowledge of the skills tested on the exam: from conversion rate optimization and paid search advertising to social media marketing. OMCP Certified Trainer Matt Bailey reviews each of the eight major exam areas in depth. Learn marketing basics, like how to write compelling website copy and ads, create engaging content to target specific audiences, develop email marketing lists, create strong calls to action, design great landing pages, customize experiences for mobile users, and use analytics tools to assess campaign performance. This course also counts toward your training requirement for OMCA certification.

<br><br>A free OMCA practice exam is available to LinkedIn Learning members courtesy of OMCP. Use voucher code LIOMCA4 for free access to the OMCA Practice Assessment here:  
<a href=""https://exams.omcp.org/practice-assessment-omca-information/"" target=""_blank"">https://omcp.org/for-linkedin-omca-course-participants/</a><br><br>The practice assessment reveals strengths and areas where you may want to review. Scores 70% and higher correlate well to a passing score on the certification exam.",Course,2023-06-08 01:33 UTC,N/A,false,N/A,
AI-Powered Presentations: Crafting Compelling PowerPoints with ChatGPT and Copilot,"Discover how to use generative AI tools like ChatGPT and Microsoft Copilot to create high-impact presentations quickly. Presentation designer Camille Holden guides you through everything you need to know, from researching and generating compelling slide content to exporting AI-generated output into PowerPoint and more. Learn how to use generative AI tools to create a solid outline for your presentation. Leverage the power of AI to flesh out the content of your slides—whether you’re writing eye-catching titles and well-crafted copy or sharing interesting anecdotes and statistics. Explore ways you can build and customize ChatGPT agents. Camille shows you how generative AI tools can help develop images that complement your material. By the end of this course, you’ll be prepared to quickly refine and edit your first drafts in PowerPoint to take your presentations to the next level.",Course,2025-05-23 14:41 UTC,N/A,false,N/A,
Integrating Generative AI into the Creative Process,"<p>For creatives, artificial intelligence can’t do your job for you—nor should you want it to. However, proper use of AI can help you jumpstart your creative processive and boost your productivity. In this course, Dave Birss shows you how you can use AI to develop your creative skills, from enhancing your creativity and visualization skills to improving your writing. Then, learn how AI can inspire your work by providing better ingredients for fresh ideas. He also explains how to use AI to spark your imagination, as well as practical uses of AI that can help you implement your ideas. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/human-skills-in-the-age-of-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-09-11 14:13 UTC,N/A,false,N/A,
Photoshop 2021 New Features,"Photoshop 2021 is a big, ambitious update, packed with automated features, AI-enabled retouching filters, and time-saving innovations. In this course, expert Deke McClelland brings you up to speed with every single new feature in the software. Learn about the new Sky Replacement command, which lets you swap an ordinary sky for a more dramatic one. Discover Refine Hair, which turns a base selection into an impressive hair mask. Experiment with such practical and entertaining new filters as Skin Smoothing and Smart Portrait. Explore enhancements to Live Shapes, including on-canvas controls and a Line tool that draws open path outlines, complete with dynamic arrowheads. Learn how to review changes to collaborative cloud documents with the help of the powerful Version History panel. And that’s just the beginning. Check back for new videos every time Adobe releases an update.",Course,2022-08-03 20:28 UTC,N/A,false,N/A,
Prompt Engineering and AI Agents with ChatGPT,"Explore how OpenAI's updates transform prompt engineering with new agentic features. Learn to use variables and identifiers for reusable prompts and convert them into custom GPT agents. Master the @ mentioning system for task-specific GPTs, and discover advanced features like memory management, vision, audio processing, and custom instructions.",Course,2025-08-12 13:32 UTC,N/A,false,N/A,
Harness Your Anxiety for Good,"<p>In this course, New York University neuroscientist Dr. Wendy Suzuki shares practical wisdom to help individuals harness the power of anxiety and turn it into a positive force. She discusses how to understand and influence anxiety positively and delves into the concept of ""good"" anxiety, illustrating how it can enhance performance and drive success. She reveals techniques for cultivating presence and routine, connecting to motivation and purpose, and dealing with common challenges like imposter syndrome. Plus, learn how to leverage anxiety to maximize your potential and stay present every day.
 </p><p>
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2025-03-19 14:49 UTC,N/A,false,N/A,
Copyright for Creatives: Protecting Your Work,"Many creative people are familiar with the frustrating experience of discovering that their work is being used online without their permission. But not all of the artists whose work is being copied and resold know how to properly manage the situation. In this course, Von Glitschka dives into the subject of copyrights, sharing key information that you need to know to protect your work. Von explains what a copyright is, what needs to be copyrighted, and how to register one. He also explores copyright infringement, explaining where it commonly happens and how to know if you're a victim. From there, he and his lawyer take you through the process of responding to infringement, and demystify some common misconceptions about copyright law.",Course,2026-02-01 15:05 UTC,N/A,false,N/A,
AI Meets Accessibility: A Conversation with Ioana Tanase and Christina Mallon,"Artificial Intelligence can be both a boon and a challenge for people with disabilities and people with various accessibility needs. In this conversation, Accessibility Program Manager Ioana Tanase and Principal Director of Inclusive Design Christina Mallon from Microsoft join LinkedIn Senior Staff Instructor Morten Rand-Hendriksen for an in-depth discussion of how AI impacts accessibility, and inclusive design.",Course,2024-09-12 11:36 UTC,N/A,false,N/A,
How to Use Generative AI: Building an AI-First Mindset,"<p>Creating real impact with AI means understanding what generative AI is capable of today—and using that knowledge to stay ahead of future developments. Regardless of your industry, role, and experience, AI can transform your personal and professional development. If you want to learn how to unlock your full potential with AI, this course is for you.
</p><p>
In this course, AI thought leader, advisor, and investor Allie K. Miller provides her insights and guidance on how to thrive in the AI age. She shares real-world examples of generative AI tools in action, as well as her most-used framework to leverage AI to generate added value. Learn how to seamlessly integrate AI into your workflows, enhancing both individual and team productivity. Get the knowledge and tools to use AI for strategic planning, decision-making, and creative problem-solving. By adopting an AI-first mindset, you’ll be better prepared to future-proof your career and lead AI-driven transformations within your organization.",Course,2025-06-11 14:35 UTC,N/A,false,N/A,
Coding Exercises: SQL Data Science,"Want to test—and develop—your SQL data-engineering skills? Do you fancy yourself pretty skilled at SQL and want to see just how sharp you are? Then check out this installment of the <i>Code Challenges</i> series, as instructor Harshit Tyagi presents a number of challenges requiring you to write SQL queries to solve problems and answer questions. The challenges start at a relatively low level of difficulty—column selection, filtering rows from data, sorting and grouping query results—and get progressively tougher, testing you on topics like handling missing and invalid data, calculating moving window average, and data transformations. The challenges are all a few minutes long, and use a single database, so you can jump around from challenge to challenge or watch the entire course. So, if you want to see if you’re equal to the tasks, try out these SQL challenges.",Course,2022-05-09 19:57 UTC,N/A,false,N/A,
Google Analytics 4 (GA4) Essential Training,"Google Analytics is the de facto standard for web analytics and provides the means to track, analyze, and report on site visits, marketing goals, and ad revenue generated from your site. This course explains how to use Google Analytics to measure traffic, conversions, ad performance and ROI, and to identify how people use your website. Google product expert Corey Koberg covers the out-of-the-box functionality, from account creation to reporting fundamentals, and explains how to glean insights from the vast array of data available—from averages and segments to trends and context. If you want to learn how to get, convert, and retain customers, manage user accounts, and more, join Corey in this course.",Course,2023-05-28 23:44 UTC,N/A,false,N/A,
How to Land Job Interviews without Applying Online,"Applying online is a tough way to land a job, in today’s market. The data shows us that fewer than 2% of candidates who apply online actually get in the door for an interview. So what should you do instead? In this course, Austin Belcak walks you through the steps you can take to generate a steady pipeline of interviews at your target companies — without submitting a single online application! Austin shows you a new approach to job searching that focuses on generating referrals, instead of applying online. He explains ways you can apply this approach directly on LinkedIn, as well. This approach allows you to have more control over landing a job at one of the companies that you really want to work for, and it improves your chances of landing interviews and offers at those companies, without the endless online applications!",Course,2024-10-15 16:16 UTC,N/A,false,N/A,
Semantic Kernel in Action: Fundamentals,"As AI becomes increasingly important in software development, Semantic Kernel offers a powerful tool for .NET developers to create, orchestrate, and integrate AI components and memories. In this course, developer community lead and software architect José Luis Latorre empowers you to stay ahead in the rapidly evolving AI landscape and guides you in building sophisticated AI solutions. Get a comprehensive overview of Semantic Kernel, including plug-ins, planners, and memories. Gain hands-on experience in setting up the environment, creating and orchestrating plug-ins, mastering planners, and working with memories. Plus, complete a final project that brings all the concepts presented in the course together.",Course,2025-06-20 13:49 UTC,N/A,false,N/A,
Product Management Insights,"<p>Looking to ramp up your skill set as a high-performing product manager? Get up and running today in this bootcamp-style course with LinkedIn product management experts Hari Srinivasan, Gyanda Sachdeva, and Damien Coullon. Join Hari, Gyanda, and Damien as they draw insights from their own experiences and give you a hands-on overview of some of the most crucial skills a PM needs to know to be successful at a large organization.</p><p>Learn how to perform at a high level—in any business context—and build products that resonate with your users and customers. Get tips for defining a problem statement, examining your audience and customer base, prioritizing problems in light of your customers’ and organization’s needs, driving feature growth, and dealing with conflict. Along the way, Hari, Gyanda, and Damien offer practical strategies for growth and success in a product ecosystem, attending to the unique considerations of both your enterprise and consumers, and communicating clearly and effectively with purpose.</p>",Course,2025-09-18 14:16 UTC,N/A,false,N/A,
Data Strategy,"Your organization already has an enterprise strategy, an IT strategy, and maybe digital strategy, too. Why is a data strategy necessary? How does it fit into the other strategies? In this course, instructor Peter High shows you the value and need for a cohesive data strategy for your business. Peter begins by explaining the building blocks of data strategy and why data governance is the best way to scale your data operation. He covers the role of the chief data officer and how to educate the entire organization so that everyone understands the value of data strategy and how it will be leveraged. Peter goes over the various puzzle pieces involved in building your data strategy, as well as data strategy’s relationship with IT, digital strategy, and business capabilities. He concludes with the need to commit to a data orientation and how to engage the entire company in your data strategy.",Course,2022-11-22 21:46 UTC,N/A,false,N/A,
Drawing Vector Graphics: Hand Lettering,"Typography and lettering are distinct yet intimately interwoven art forms. While typography relies on established fonts, lettering relies on the hand of an artist. However, since hand lettering, like typography, is usually destined for print or the web, it's critical for illustrators to be able to transform their letterform drawings into pristine vector graphics. In this installment of <em>Drawing Vector Graphics</em>, Von Glitschka takes members through the entire creative process of hand lettering: starting with analog drawing tools, then using Adobe Illustrator to turn his drawings into vector graphics that can be further customized and scaled up or down. Von also introduces styling tips to create more compelling graphics and examples from some of the industry's best artists.",Course,2025-03-31 16:26 UTC,N/A,false,N/A,
Breaking Free From Micromanagement,"<p>Strong leadership skills are foundational to a successful career—regardless of your role. An effective leadership approach is key for your team to reach its full potential. In this course, leadership professor Dr. Julia Milner from EDHEC Business School shares practical wisdom to help leaders recognize, handle, and prevent micromanaging in the workplace. Dr. Julia Milner is a renowned leadership expert with extensive experience in coaching and developing leaders. Find out how to recognize the underlying need for control and anxiety that often drives micromanaging behavior. Delve into the negative impacts of being micromanaged on mental health and productivity. Get started with universal principles such as recognizing micromanaging tendencies and developing strategies to prevent them. Explore techniques for handling micromanaging behavior effectively and promoting a healthier work environment. Plus, discover ways to create a supportive team culture that fosters trust and autonomy. </p>

<p>This course was created by Morra Aarons-Mele. We are pleased to host this training in our library.</p>",Course,2024-11-07 21:41 UTC,N/A,false,N/A,
Automate and Innovate with Chat GPT AI Agents and Zapier,"Explore the future of work productivity: leveraging AI agents in tandem with Zapier. In this course, instructor Jules White shows you how to use ChatGPT, AI agents, and Zapier to build automation tools that can handle complex tasks, boost your efficiency, and help you get more done faster with less stress. Along the way, gather insights on how to harness these tools to streamline your workflow and focus on what matters most. Upon completing this course, you’ll be prepared to automate and innovate, transforming the way you work to achieve your goals.",Course,2025-08-22 13:49 UTC,N/A,false,N/A,
Demystifying ChatGPT and Generative AI: What Every Professional Needs to Know,"Unlock the secrets of AI in this course with instructor Jules White. This course breaks down complex AI concepts into simple, easy-to-understand lessons, making generative AI accessible to everyone. Learn how to effectively integrate ChatGPT into your professional toolkit, boosting productivity, creativity, and innovation. Business leaders will gain strategic insights to effectively innovate and drive their organizations forward. Whether you're new to AI or looking to enhance your understanding, this course provides the essential knowledge and skills you need to stay ahead in the evolving digital landscape.",Course,2025-03-07 15:47 UTC,N/A,false,N/A,
Nonprofit Fundraising: A Beginner’s Guide,"Relationships are part of our daily lives, and focusing on them is a proven method for successful communication. To raise funds successfully, you need to aim for long-lasting, mutually beneficial relationships. This starts by understanding the exponential growth of the nonprofit world’s impact on donors. This course from Fundraising Academy explains how donor’s mindsets have changed with the development of watchdog organizations. Learn to embrace your selling persona and improve prospective and donor relationships with the Cause Selling Cycle. Explore ways to remain ethical in the gray areas, as well as the time management, organizational, and communication skills that you will need as prospective donors decide to partner with you and your cause. 
 <br><br>
Note: This course was created by <a href=""https://www.fundraising-academy.org/"">Fundraising Academy</a> together with <a href=""https://onlymadecraft.com"">Madecraft</a>. We are pleased to host this training in our library.",Course,2024-11-23 13:23 UTC,N/A,false,N/A,
Nano Tips for Understanding Your Analytics with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join award-winning leadership strategist and peak performance specialist Shadé Zahrai as she shares practical, actionable advice on leveraging the power of LinkedIn Analytics.</p><p>Learn how to use LinkedIn Analytics to develop data-driven strategies to analyze audience trends, refine messaging, and optimize content, ensuring impactful engagement and meaningful connections with your followers. Shadé shows you how and why applying data-driven insights can let you more effectively plan future posts, troubleshoot underperforming content, build lasting relationships with your audience, and more. By the end of this course, you’ll be prepared to create with more intentionality, instead of just chasing virality or feeling like analytics is guesswork.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-08-06 13:50 UTC,N/A,false,N/A,
Developing Self-Awareness,"While a multitude of factors can go into the making of a successful person, nearly all individuals who achieve high levels of personal and professional success have a keen sense of self-awareness. In this course, learn how to become more self-aware in order to develop yourself personally and enhance career progression. Organizational psychologist Gemma Roberts helps you learn how to develop your self-awareness so that you can understand how others see you, and better align your actions with your intentions. She explains how to identify beliefs to enhance self-awareness, step outside of yourself to gain a different perspective, leverage a self-awareness action plan, and more.",Course,2022-08-11 13:18 UTC,N/A,false,N/A,
Working with Difficult People,"<p>In every workplace, you're likely to encounter colleagues who are more difficult to work with than others. But before you rush to judgment, you should determine if and how you might be contributing to the situation, and what you can do to help.</p><p>In this course, join psychologist Dr. Emily Anhalt as she shows you how to navigate and communicate with people who you find challenging to deal with at work. Pause and reflect on your role in challenging work situations to uncover how empathy can help you work better with others. Emily shares strategies to respond to a wide variety of particularly challenging work situations, including with people whose behavior is negative, absent, competitive, and passive-aggressive. By the end of this course, you’ll be prepared with new skills and practical strategies to have an effective conversation with someone you find difficult to work with.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2024-09-08 03:01 UTC,N/A,false,N/A,
